date,open,high,low,close,volume,symbol,rsi,sma,month,month_name,weekday_name
2025-02-07,232.5,234.81,228.06,229.15,77539276.0,AMZN,48.2492,235.8986,2,February,Friday
2025-02-10,230.545,233.92,229.2,233.14,35419926.0,AMZN,52.6532,236.0721,2,February,Monday
2025-02-11,231.92,233.44,230.13,232.76,23713726.0,AMZN,52.1976,235.9114,2,February,Tuesday
2025-02-12,230.46,231.18,228.16,228.93,32285249.0,AMZN,47.7161,235.4479,2,February,Wednesday
2025-02-13,228.85,230.42,227.52,230.37,31346512.0,AMZN,49.4726,235.1279,2,February,Thursday
2025-02-14,229.2,229.89,227.23,228.68,27031084.0,AMZN,47.4576,234.6464,2,February,Friday
2025-02-18,228.82,229.3,223.72,226.65,42975133.0,AMZN,45.0822,233.825,2,February,Tuesday
2025-02-19,225.52,226.83,223.71,226.63,28566709.0,AMZN,45.0583,233.0793,2,February,Wednesday
2025-02-20,224.775,225.13,221.81,222.88,30001665.0,AMZN,40.6967,232.2393,2,February,Thursday
2025-02-21,223.28,223.31,214.74,216.58,55323850.0,AMZN,34.6316,230.7321,2,February,Friday
2025-02-24,217.45,217.715,212.42,212.71,42387585.0,AMZN,31.5236,228.9671,2,February,Monday
2025-02-25,211.63,213.34,204.16,212.8,58957977.0,AMZN,31.6772,226.8771,2,February,Tuesday
2025-02-26,214.94,218.16,213.09,214.35,39120603.0,AMZN,34.4054,225.3186,2,February,Wednesday
2025-02-27,218.35,219.97,208.37,208.74,40548571.0,AMZN,29.7716,223.1693,2,February,Thursday
2025-02-28,208.65,212.62,206.99,212.28,51771737.0,AMZN,35.6603,221.9643,2,February,Friday
2025-03-03,213.352,214.01,202.55,205.02,42948447.0,AMZN,30.0882,219.9557,3,March,Monday
2025-03-04,200.11,206.8,197.432,203.8,60853084.0,AMZN,29.2608,217.8871,3,March,Tuesday
2025-03-05,204.8,209.98,203.26,208.36,38610085.0,AMZN,36.3107,216.4179,3,March,Wednesday
2025-03-06,204.4,205.77,198.3015,200.7,49863755.0,AMZN,30.7642,214.2986,3,March,Thursday
